date,High
2024-05-15,587.6572
2024-05-14,592.9579
2024-05-13,598.2587
2024-05-12,599.6078
2024-05-11,594.6376
2024-05-10,597.1992
2024-05-09,601.4263
2024-05-08,589.4679
2024-05-07,598.728
2024-05-06,602.0294
2024-05-05,595.0622
2024-05-04,593.4268
2024-05-03,589.9721
2024-05-02,565.8032
2024-05-01,578.9465
2024-04-30,603.2387
2024-04-29,603.0382
2024-04-28,607.8224
2024-04-27,599.7722
2024-04-26,615.005
2024-04-25,617.8776
2024-04-24,617.1581
2024-04-23,611.6007
2024-04-22,607.5545
2024-04-21,581.3962
2024-04-20,573.7877
2024-04-19,563.8207
2024-04-18,553.8678
2024-04-17,547.5128
2024-04-16,553.5264
2024-04-15,584.6296
2024-04-14,569.4335
2024-04-13,598.6123
2024-04-12,626.3403
2024-04-11,615.9983
2024-04-10,610.0007
2024-04-09,589.7062
2024-04-08,599.6299
2024-04-07,590.6089
2024-04-06,590.3602
2024-04-05,589.3791
2024-04-04,597.7228
2024-04-03,566.9043
2024-04-02,578.1098
2024-04-01,608.0467
2024-03-31,608.9645
2024-03-30,611.8235
2024-03-29,619.446
2024-03-28,590.8471
2024-03-27,584.7586
2024-03-26,596.8645
2024-03-25,596.654
2024-03-24,572.0193
2024-03-23,566.7554
2024-03-22,587.1129
2024-03-21,569.1492
2024-03-20,559.0243
2024-03-19,559.4597
2024-03-18,584.4582
2024-03-17,589.4369
2024-03-16,637.9922
2024-03-15,627.5972
2024-03-14,625.4604
2024-03-13,628.0128
2024-03-12,545.8959
2024-03-11,531.749
2024-03-10,535.7118
2024-03-09,492.5467
2024-03-08,487.6993
2024-03-07,475.306
2024-03-06,432.0904
2024-03-05,426.0739
2024-03-04,423.085
2024-03-03,416.568
2024-03-02,414.3675
2024-03-01,408.52
2024-02-29,418.8102
2024-02-28,425.4693
2024-02-27,403.4025
2024-02-26,403.7762
2024-02-25,390.3989
2024-02-24,383.3265
2024-02-23,385.4006
2024-02-22,386.488
2024-02-21,378.4412
2024-02-20,360.3157
2024-02-19,355.5452
2024-02-18,357.9616
2024-02-17,363.2425
2024-02-16,363.9113
2024-02-15,364.1931
2024-02-14,334.4756
2024-02-13,329.1185
2024-02-12,330.3382
2024-02-11,324.9829
2024-02-10,325.5176
2024-02-09,325.8014
2024-02-08,320.2331
2024-02-07,308.5958
2024-02-06,303.7243
2024-02-05,306.4781
2024-02-04,307.5729
2024-02-03,303.6433
2024-02-02,304.5282
2024-02-01,301.9319
2024-01-31,307.8393
2024-01-30,313.0385
2024-01-29,310.7841
2024-01-28,308.6358
2024-01-27,307.1288
2024-01-26,303.9549
2024-01-25,295.8153
2024-01-24,300.2664
2024-01-23,311.3477
2024-01-22,319.9208
2024-01-21,321.5588
2024-01-20,317.1774
2024-01-19,315.577
2024-01-18,315.017
2024-01-17,315.9478
2024-01-16,318.6811
2024-01-15,319.6002
2024-01-14,306.6571
2024-01-13,303.0442
2024-01-12,312.6423
2024-01-11,316.4577
2024-01-10,309.5675
2024-01-09,306.6537
2024-01-08,307.847
2024-01-07,309.9077
2024-01-06,317.3871
2024-01-05,326.4572
2024-01-04,323.5315
2024-01-03,332.1794
2024-01-02,320.9103
2024-01-01,315.579
2023-12-31,324.8441
2023-12-30,319.9028
2023-12-29,325.2777
2023-12-28,337.0712
2023-12-27,322.4839
2023-12-26,302.0408
2023-12-25,267.9268
2023-12-24,272.5525
2023-12-23,272.0809
2023-12-22,276.0881
2023-12-21,274.0825
2023-12-20,261.3837
2023-12-19,254.5132
2023-12-18,241.3015
2023-12-17,244.5134
2023-12-16,248.003
2023-12-15,253.1666
2023-12-14,253.9455
2023-12-13,255.3404
2023-12-12,256.4996
2023-12-11,246.6647
2023-12-10,241.3662
2023-12-09,245.0122
2023-12-08,239.7894
2023-12-07,234.6957
2023-12-06,234.5311
2023-12-05,234.3152
2023-12-04,236.2309
2023-12-03,231.7073
2023-12-02,230.3287
2023-12-01,230.0502
2023-11-30,229.4158
2023-11-29,231.2931
2023-11-28,231.8403
2023-11-27,232.9909
2023-11-26,234.7077
2023-11-25,235.7733
2023-11-24,236.6339
2023-11-23,238.9849
