index,Start,High,Low,Volume
0,2010-07-17,0.05,0.05,0.0
1,2010-07-18,0.0858,0.0858,0.0
2,2010-07-19,0.0808,0.0808,0.0
3,2010-07-20,0.0747,0.0747,0.0
4,2010-07-21,0.0792,0.0792,0.0
5,2010-07-22,0.0505,0.0505,0.0
6,2010-07-23,0.0626,0.0626,0.0
7,2010-07-24,0.0545,0.0545,0.0
8,2010-07-25,0.0505,0.0505,0.0
9,2010-07-26,0.056,0.056,0.0
10,2010-07-27,0.06,0.06,0.0
11,2010-07-28,0.0589,0.0589,0.0
12,2010-07-29,0.0699,0.0699,0.0
13,2010-07-30,0.0627,0.0627,0.0
14,2010-07-31,0.0679,0.0679,0.0
15,2010-08-01,0.0611,0.0611,0.0
16,2010-08-02,0.06,0.06,0.0
17,2010-08-03,0.06,0.06,0.0
18,2010-08-04,0.057,0.057,0.0
19,2010-08-05,0.061,0.061,0.0
20,2010-08-06,0.0623,0.0623,0.0
21,2010-08-07,0.059,0.059,0.0
22,2010-08-08,0.0609,0.0609,0.0
23,2010-08-09,0.071,0.071,0.0
24,2010-08-10,0.07,0.07,0.0
25,2010-08-11,0.067,0.067,0.0
26,2010-08-12,0.07,0.07,0.0
27,2010-08-13,0.0645,0.0645,0.0
28,2010-08-14,0.067,0.067,0.0
29,2010-08-15,0.0653,0.0653,0.0
30,2010-08-16,0.0655,0.0655,0.0
31,2010-08-17,0.07,0.07,0.0
32,2010-08-18,0.068,0.068,0.0
33,2010-08-19,0.0667,0.0667,0.0
34,2010-08-20,0.0655,0.0655,0.0
35,2010-08-21,0.0664,0.0664,0.0
36,2010-08-22,0.066,0.066,0.0
37,2010-08-23,0.0649,0.0649,0.0
38,2010-08-24,0.065,0.065,0.0
39,2010-08-25,0.0648,0.0648,0.0
40,2010-08-26,0.064,0.064,0.0
41,2010-08-27,0.065,0.065,0.0
42,2010-08-28,0.0641,0.0641,0.0
43,2010-08-29,0.064,0.064,0.0
44,2010-08-30,0.065,0.065,0.0
45,2010-08-31,0.06,0.06,0.0
46,2010-09-01,0.0629,0.0629,0.0
47,2010-09-02,0.0634,0.0634,0.0
