date,High
2024-05-15,3040.3976
2024-05-14,2962.4673
2024-05-13,2991.1717
2024-05-12,2957.482
2024-05-11,2942.2771
2024-05-10,3055.5622
2024-05-09,3057.9938
2024-05-08,3039.6624
2024-05-07,3129.9726
2024-05-06,3226.2427
2024-05-05,3171.0526
2024-05-04,3167.0271
2024-05-03,3129.2215
2024-05-02,3016.1151
2024-05-01,3025.2748
2024-04-30,3251.9596
2024-04-29,3290.2292
2024-04-28,3349.1001
2024-04-27,3276.4548
2024-04-26,3164.0257
2024-04-25,3191.1677
2024-04-24,3292.5009
2024-04-23,3259.6654
2024-04-22,3236.2895
2024-04-21,3197.1134
2024-04-20,3164.9343
2024-04-19,3119.2634
2024-04-18,3088.8207
2024-04-17,3123.377
2024-04-16,3120.097
2024-04-15,3274.6408
2024-04-14,3167.6846
2024-04-13,3297.6372
2024-04-12,3559.298
2024-04-11,3619.6398
2024-04-10,3559.9659
2024-04-09,3719.8724
2024-04-08,3724.6406
2024-04-07,3463.4984
2024-04-06,3397.7313
2024-04-05,3343.0863
2024-04-04,3439.675
2024-04-03,3365.8964
2024-04-02,3511.5634
2024-04-01,3652.7203
2024-03-31,3659.4654
2024-03-30,3568.2412
2024-03-29,3586.3339
2024-03-28,3611.656
2024-03-27,3660.0635
2024-03-26,3676.7396
2024-03-25,3649.4378
2024-03-24,3473.0892
2024-03-23,3431.2827
2024-03-22,3551.8292
2024-03-21,3585.6894
2024-03-20,3531.3412
2024-03-19,3547.1665
2024-03-18,3649.1913
2024-03-17,3682.9814
2024-03-16,3783.6849
2024-03-15,3933.1728
2024-03-14,4018.9962
2024-03-13,4081.8289
2024-03-12,4094.1757
2024-03-11,4083.2189
2024-03-10,3970.349
2024-03-09,3948.8374
2024-03-08,3993.3391
2024-03-07,3935.9855
2024-03-06,3897.5136
2024-03-05,3820.7597
2024-03-04,3643.7974
2024-03-03,3501.2329
2024-03-02,3465.5743
2024-03-01,3455.7838
2024-02-29,3518.9963
2024-02-28,3480.5369
2024-02-27,3288.7675
2024-02-26,3198.4281
2024-02-25,3118.2668
2024-02-24,3008.5953
2024-02-23,2995.8998
2024-02-22,3033.2268
2024-02-21,3019.1744
2024-02-20,3026.2876
2024-02-19,2987.9941
2024-02-18,2902.5219
2024-02-17,2813.5999
2024-02-16,2862.7309
2024-02-15,2867.7119
2024-02-14,2791.7027
2024-02-13,2692.1905
2024-02-12,2670.1845
2024-02-11,2550.7067
2024-02-10,2524.6597
2024-02-09,2529.0123
2024-02-08,2466.0629
2024-02-07,2450.1408
2024-02-06,2395.3147
2024-02-05,2345.6847
2024-02-04,2329.7065
2024-02-03,2339.3211
2024-02-02,2330.6793
2024-02-01,2314.8405
2024-01-31,2353.8383
2024-01-30,2392.6054
2024-01-29,2328.6734
2024-01-28,2321.114
2024-01-27,2293.0649
2024-01-26,2287.5165
2024-01-25,2246.0683
2024-01-24,2266.5401
2024-01-23,2352.1061
2024-01-22,2473.1979
2024-01-21,2489.5735
2024-01-20,2492.1907
2024-01-19,2505.1945
2024-01-18,2549.2366
2024-01-17,2594.6877
2024-01-16,2612.7871
2024-01-15,2554.8887
2024-01-14,2576.5324
2024-01-13,2589.5888
2024-01-12,2707.1491
2024-01-11,2683.4842
2024-01-10,2621.6549
2024-01-09,2368.7275
2024-01-08,2357.8526
2024-01-07,2255.7745
2024-01-06,2272.2394
2024-01-05,2276.9643
2024-01-04,2292.4711
2024-01-03,2388.0097
2024-01-02,2437.7644
2024-01-01,2365.2769
2023-12-31,2332.4726
2023-12-30,2330.2361
2023-12-29,2389.6729
2023-12-28,2447.6009
2023-12-27,2392.2243
2023-12-26,2280.5342
2023-12-25,2314.1756
2023-12-24,2338.013
2023-12-23,2337.3574
2023-12-22,2348.5416
2023-12-21,2279.1615
2023-12-20,2265.3161
2023-12-19,2256.8868
2023-12-18,2225.4213
2023-12-17,2259.481
2023-12-16,2275.7127
2023-12-15,2323.195
2023-12-14,2337.1193
2023-12-13,2288.4153
2023-12-12,2247.4513
2023-12-11,2366.0215
2023-12-10,2389.3012
2023-12-09,2408.1871
2023-12-08,2391.0809
2023-12-07,2382.3684
2023-12-06,2311.2512
2023-12-05,2304.7483
2023-12-04,2272.6217
2023-12-03,2212.3457
2023-12-02,2177.7269
2023-12-01,2111.7771
2023-11-30,2059.644
2023-11-29,2075.0675
2023-11-28,2077.86
2023-11-27,2074.4683
2023-11-26,2100.5528
2023-11-25,2094.0902
2023-11-24,2130.8215
2023-11-23,2090.181
2023-11-22,2091.8274
2023-11-21,2039.2922
2023-11-20,2063.9834
2023-11-19,2020.8197
2023-11-18,1977.8325
2023-11-17,1992.5723
2023-11-16,2084.0425
2023-11-15,2063.7205
2023-11-14,2066.7088
2023-11-13,2116.9299
2023-11-12,2069.4629
2023-11-11,2090.4453
2023-11-10,2132.1021
2023-11-09,2129.0593
2023-11-08,1910.6187
2023-11-07,1911.435
2023-11-06,1917.0975
2023-11-05,1915.4054
2023-11-04,1874.3832
2023-11-03,1841.2692
2023-11-02,1873.3653
2023-11-01,1859.0325
2023-10-31,1821.527
2023-10-30,1832.1438
2023-10-29,1815.2213
2023-10-28,1802.3462
2023-10-27,1808.906
2023-10-26,1866.7038
2023-10-25,1816.0285
2023-10-24,1854.0797
2023-10-23,1785.6989
2023-10-22,1671.7854
2023-10-21,1649.52
2023-10-20,1633.9106
2023-10-19,1581.0549
2023-10-18,1592.1094
2023-10-17,1603.6209
2023-10-16,1618.3088
2023-10-15,1580.5221
2023-10-14,1572.8479
2023-10-13,1576.0924
2023-10-12,1572.9896
2023-10-11,1584.1244
2023-10-10,1599.682
2023-10-09,1646.0636
2023-10-08,1653.6621
2023-10-07,1654.108
2023-10-06,1662.4326
2023-10-05,1660.0277
2023-10-04,1661.9509
2023-10-03,1663.2077
2023-10-02,1719.1152
2023-10-01,1713.0671
2023-09-30,1676.0731
2023-09-29,1687.3823
2023-09-28,1668.0121
2023-09-27,1635.9912
2023-09-26,1602.038
2023-09-25,1601.0308
2023-09-24,1610.578
2023-09-23,1606.6629
2023-09-22,1606.8503
2023-09-21,1630.5984
2023-09-20,1654.2898
2023-09-19,1664.6334
2023-09-18,1672.3274
2023-09-17,1644.1342
2023-09-16,1655.0174
2023-09-15,1656.1264
2023-09-14,1643.0933
2023-09-13,1618.222
2023-09-12,1617.3093
2023-09-11,1623.695
2023-09-10,1643.0558
2023-09-09,1644.1057
