date,High
2024-05-15,158.5516
2024-05-14,148.9396
2024-05-13,150.0654
2024-05-12,147.5651
2024-05-11,147.4857
2024-05-10,155.438
2024-05-09,153.0267
2024-05-08,149.8411
2024-05-07,159.1003
2024-05-06,156.5093
2024-05-05,147.9937
2024-05-04,148.8989
2024-05-03,144.7928
2024-05-02,140.4028
2024-05-01,134.9606
2024-04-30,139.7223
2024-04-29,138.9604
2024-04-28,144.6229
2024-04-27,142.8529
2024-04-26,145.8322
2024-04-25,149.2624
2024-04-24,159.7015
2024-04-23,159.791
2024-04-22,157.9723
2024-04-21,152.754
2024-04-20,152.0421
2024-04-19,146.9643
2024-04-18,143.1568
2024-04-17,141.6565
2024-04-16,140.0297
2024-04-15,154.976
2024-04-14,151.4833
2024-04-13,154.0832
2024-04-12,175.6878
2024-04-11,176.0544
2024-04-10,175.236
2024-04-09,180.5807
2024-04-08,183.8753
2024-04-07,182.1192
2024-04-06,179.5696
2024-04-05,184.6679
2024-04-04,189.5326
2024-04-03,191.3136
2024-04-02,192.0343
2024-04-01,204.0388
2024-03-31,202.8148
2024-03-30,199.3188
2024-03-29,192.6701
2024-03-28,190.5304
2024-03-27,192.2264
2024-03-26,196.121
2024-03-25,194.0132
2024-03-24,185.8435
2024-03-23,178.2593
2024-03-22,181.3523
2024-03-21,194.3096
2024-03-20,192.0836
2024-03-19,198.1076
2024-03-18,208.7454
2024-03-17,203.2228
2024-03-16,197.1447
2024-03-15,188.0502
2024-03-14,177.0204
2024-03-13,164.9946
2024-03-12,154.1499
2024-03-11,149.7141
2024-03-10,148.3952
2024-03-09,148.9921
2024-03-08,151.8042
2024-03-07,149.0008
2024-03-06,134.8424
2024-03-05,141.9073
2024-03-04,134.8661
2024-03-03,131.7676
2024-03-02,131.1936
2024-03-01,137.0855
2024-02-29,134.2203
2024-02-28,117.4907
2024-02-27,112.0777
2024-02-26,110.3399
2024-02-25,104.3067
2024-02-24,104.7638
2024-02-23,103.2998
2024-02-22,107.0925
2024-02-21,108.6175
2024-02-20,111.9561
2024-02-19,114.478
2024-02-18,113.7868
2024-02-17,111.0884
2024-02-16,114.185
2024-02-15,118.1529
2024-02-14,118.416
2024-02-13,114.5823
2024-02-12,111.7915
2024-02-11,110.2795
2024-02-10,110.3904
2024-02-09,108.6521
2024-02-08,104.6447
2024-02-07,101.1412
2024-02-06,97.7516
2024-02-05,98.3337
2024-02-04,98.4398
2024-02-03,100.9926
2024-02-02,102.2959
2024-02-01,97.959
2024-01-31,102.4638
2024-01-30,106.1341
2024-01-29,101.5667
2024-01-28,99.0853
2024-01-27,94.3891
2024-01-26,93.5644
2024-01-25,89.499
2024-01-24,89.0015
2024-01-23,85.8826
2024-01-22,91.6562
2024-01-21,93.809
2024-01-20,93.8684
2024-01-19,96.2432
2024-01-18,102.5634
2024-01-17,102.4518
2024-01-16,98.5546
2024-01-15,96.7518
2024-01-14,102.3034
2024-01-13,96.8325
2024-01-12,100.3953
2024-01-11,106.834
2024-01-10,105.02
2024-01-09,103.661
2024-01-08,99.3699
2024-01-07,96.5317
2024-01-06,99.9242
2024-01-05,105.1974
2024-01-04,107.9012
2024-01-03,109.8893
2024-01-02,116.7305
2024-01-01,109.5149
2023-12-31,105.1609
2023-12-30,107.1061
2023-12-29,109.7617
2023-12-28,109.3014
2023-12-27,114.9011
2023-12-26,120.8954
2023-12-25,125.3934
2023-12-24,117.3198
2023-12-23,109.336
2023-12-22,99.3053
2023-12-21,95.182
2023-12-20,83.8895
2023-12-19,76.338
2023-12-18,75.3914
2023-12-17,74.7287
2023-12-16,77.224
2023-12-15,79.2074
2023-12-14,76.3066
2023-12-13,72.4703
2023-12-12,72.3153
2023-12-11,74.5967
2023-12-10,74.8253
2023-12-09,77.5529
2023-12-08,74.9796
2023-12-07,69.2384
2023-12-06,66.402
2023-12-05,62.3324
2023-12-04,65.1831
2023-12-03,65.2932
2023-12-02,63.5086
2023-12-01,61.6937
2023-11-30,61.602
2023-11-29,61.5351
2023-11-28,58.5892
2023-11-27,57.9823
2023-11-26,59.0351
2023-11-25,59.6347
2023-11-24,58.7131
2023-11-23,59.3613
2023-11-22,58.6263
2023-11-21,57.3404
2023-11-20,61.1666
2023-11-19,61.9631
2023-11-18,59.2626
2023-11-17,60.411
2023-11-16,68.0574
2023-11-15,66.7495
2023-11-14,57.5666
2023-11-13,59.3681
2023-11-12,61.7002
2023-11-11,63.2363
2023-11-10,57.3392
2023-11-09,48.6217
2023-11-08,43.7895
2023-11-07,44.4907
2023-11-06,42.1849
2023-11-05,42.8409
2023-11-04,42.6351
2023-11-03,40.0182
2023-11-02,44.4727
2023-11-01,46.2009
2023-10-31,38.4526
2023-10-30,35.1828
2023-10-29,33.1178
2023-10-28,32.5335
2023-10-27,33.2791
2023-10-26,33.2078
2023-10-25,33.6875
2023-10-24,32.4595
2023-10-23,32.5008
2023-10-22,29.9614
2023-10-21,30.186
2023-10-20,27.3645
2023-10-19,25.3955
2023-10-18,24.3155
2023-10-17,24.5281
2023-10-16,24.4261
2023-10-15,22.1943
2023-10-14,22.2526
2023-10-13,22.2318
2023-10-12,22.0228
2023-10-11,22.4137
2023-10-10,22.4983
2023-10-09,23.4048
2023-10-08,23.6244
2023-10-07,23.9713
2023-10-06,23.7614
2023-10-05,23.7196
2023-10-04,23.7329
2023-10-03,24.6617
2023-10-02,24.647
2023-10-01,24.4252
2023-09-30,21.8111
2023-09-29,20.4555
2023-09-28,20.0509
2023-09-27,19.4925
2023-09-26,19.5074
2023-09-25,19.7264
2023-09-24,19.6669
2023-09-23,19.5731
2023-09-22,19.7722
2023-09-21,20.2686
2023-09-20,20.4684
2023-09-19,20.3682
2023-09-18,20.0962
2023-09-17,19.1181
2023-09-16,19.4344
2023-09-15,19.4209
2023-09-14,19.2189
2023-09-13,18.492
2023-09-12,18.667
2023-09-11,18.3888
2023-09-10,19.4675
2023-09-09,19.6058
2023-09-08,20.2178
2023-09-07,19.9867
2023-09-06,20.3543
2023-09-05,20.5596
2023-09-04,19.9365
2023-09-03,19.6505
2023-09-02,19.6679
2023-09-01,19.9175
2023-08-31,21.0118
2023-08-30,21.8953
2023-08-29,21.9595
2023-08-28,20.7594
2023-08-27,20.8883
2023-08-26,20.4092
2023-08-25,21.0283
2023-08-24,21.993
2023-08-23,21.7769
2023-08-22,21.2499
2023-08-21,21.7472
2023-08-20,22.0319
2023-08-19,22.1726
2023-08-18,22.1689
2023-08-17,23.3866
2023-08-16,23.9773
2023-08-15,25.2771
2023-08-14,25.1766
2023-08-13,24.9396
2023-08-12,25.1283
2023-08-11,24.863
2023-08-10,24.8183
2023-08-09,24.9641
2023-08-08,24.7407
2023-08-07,23.9575
2023-08-06,24.0936
2023-08-05,23.2543
2023-08-04,23.52
2023-08-03,23.3679
2023-08-02,24.2269
2023-08-01,23.9843
2023-07-31,24.7755
2023-07-30,25.2395
2023-07-29,25.4153
2023-07-28,25.5301
2023-07-27,25.5442
2023-07-26,25.518
2023-07-25,23.5735
2023-07-24,24.8547
2023-07-23,25.2341
2023-07-22,25.9714
2023-07-21,25.9794
2023-07-20,27.3708
2023-07-19,26.948
2023-07-18,27.0613
2023-07-17,28.459
2023-07-16,28.57
2023-07-15,29.0289
2023-07-14,30.0831
2023-07-13,26.4517
2023-07-12,22.7066
2023-07-11,22.2867
2023-07-10,21.761
2023-07-09,22.325
2023-07-08,22.4001
2023-07-07,21.5905
2023-07-06,20.9836
2023-07-05,19.4125
2023-07-04,20.0854
2023-07-03,19.6093
2023-07-02,19.7994
2023-07-01,18.989
2023-06-30,19.9127
2023-06-29,18.2691
2023-06-28,16.6079
2023-06-27,17.1378
2023-06-26,17.3564
2023-06-25,18.3475
2023-06-24,17.556
2023-06-23,17.7284
2023-06-22,17.7331
2023-06-21,17.5901
2023-06-20,16.9305
2023-06-19,16.4075
2023-06-18,16.2863
2023-06-17,16.1667
2023-06-16,15.6555
2023-06-15,15.1932
2023-06-14,15.6251
2023-06-13,16.0096
2023-06-12,15.741
2023-06-11,16.261
2023-06-10,17.3763
2023-06-09,19.5522
2023-06-08,19.3505
2023-06-07,20.6036
2023-06-06,21.2391
2023-06-05,22.0891
2023-06-04,22.6375
2023-06-03,21.8711
2023-06-02,21.7955
2023-06-01,21.2506
2023-05-31,21.3689
2023-05-30,21.6431
2023-05-29,21.0795
2023-05-28,21.4545
2023-05-27,21.0615
2023-05-26,20.0926
2023-05-25,19.8158
2023-05-24,20.4777
2023-05-23,20.5242
2023-05-22,20.2647
2023-05-21,21.0697
2023-05-20,21.0666
2023-05-19,21.0093
2023-05-18,21.4274
2023-05-17,21.518
2023-05-16,21.3779
2023-05-15,21.7717
2023-05-14,21.6032
2023-05-13,21.4143
2023-05-12,21.1902
2023-05-11,21.1991
2023-05-10,21.5321
2023-05-09,21.2775
2023-05-08,22.1115
2023-05-07,23.0738
2023-05-06,23.2481
2023-05-05,23.216
2023-05-04,22.5075
2023-05-03,22.6362
2023-05-02,22.7147
2023-05-01,23.0103
2023-04-30,24.0829
2023-04-29,23.8885
2023-04-28,23.6229
2023-04-27,22.677
2023-04-26,23.0758
2023-04-25,22.2262
2023-04-24,22.1334
2023-04-23,22.4115
2023-04-22,22.2861
2023-04-21,22.3933
2023-04-20,23.1137
2023-04-19,25.0053
2023-04-18,25.5288
2023-04-17,25.987361283159327
2023-04-16,25.63563949364793
2023-04-15,24.8628
2023-04-14,25.5108
2023-04-13,25.1104
2023-04-12,24.3669
2023-04-11,23.73141520830395
2023-04-10,21.3841
2023-04-09,20.9921
2023-04-08,21.068039010388528
2023-04-07,21.1157
2023-04-06,21.3089
2023-04-05,21.4296
2023-04-04,21.3599
2023-04-03,21.161210882277874
2023-04-02,21.515130719037423
2023-04-01,21.618277897183983
2023-03-31,21.71762137307872
2023-03-30,21.5698
2023-03-29,21.5888
2023-03-28,20.9794
2023-03-27,21.381056313137
2023-03-26,21.46139662953096
2023-03-25,21.1173
2023-03-24,22.3916
2023-03-23,22.73294519239199
